jeu_vidéo,jeu_vidéoLabel,image
http://www.wikidata.org/entity/Q173626,Pac-Man,http://commons.wikimedia.org/wiki/Special:FilePath/Stockholms%20Spelmuseum%20by%20BugWarp%20%2853%29.JPG
http://www.wikidata.org/entity/Q177491,Breakout,http://commons.wikimedia.org/wiki/Special:FilePath/Screenshot-LBreakout2.jpg
http://www.wikidata.org/entity/Q179649,Galaxy Trucker,http://commons.wikimedia.org/wiki/Special:FilePath/Deskohran%C3%AD%2008-10-05%20070.jpg
http://www.wikidata.org/entity/Q182261,PokerTH,http://commons.wikimedia.org/wiki/Special:FilePath/PokerTH.png
http://www.wikidata.org/entity/Q198096,The King of Fighters '98: The Slugfest,http://commons.wikimedia.org/wiki/Special:FilePath/KOF-98%20arcade%20cabinet.jpg
http://www.wikidata.org/entity/Q207786,Tamagotchi,http://commons.wikimedia.org/wiki/Special:FilePath/Tamagotchi%200124%20ubt.jpeg
http://www.wikidata.org/entity/Q211735,Assassin's Creed 2,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg
http://www.wikidata.org/entity/Q55532,1942,http://commons.wikimedia.org/wiki/Special:FilePath/P-38%202.jpg
http://www.wikidata.org/entity/Q55616,Battlezone,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20M%C3%A9canique%20205.JPG
http://www.wikidata.org/entity/Q55673,R-Type,http://commons.wikimedia.org/wiki/Special:FilePath/R-Type%20video%20game%20machine.jpg
http://www.wikidata.org/entity/Q71936,Wii Sports,http://commons.wikimedia.org/wiki/Special:FilePath/Duo%20playing%20Wii%20Sports.jpg
http://www.wikidata.org/entity/Q5766,VVVVVV,http://commons.wikimedia.org/wiki/Special:FilePath/VVVVVV%20-%20The%20Tomb%20of%20Mad%20Carew.png
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,http://commons.wikimedia.org/wiki/Special:FilePath/Super%20Mario%20Bros.%20World%201-1.jpg
http://www.wikidata.org/entity/Q12384,Donkey Kong,http://commons.wikimedia.org/wiki/Special:FilePath/Donkey%20Kong%20arcade.jpg
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Legend%20of%20Zelda%20-%20Golden%20Catridge.jpg
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Army%20Plaza%20IRT%20E-Pkwy%3B%20Bike%20Racks%20%28cropped%29.JPG
http://www.wikidata.org/entity/Q28418,Cossacks: European Wars,http://commons.wikimedia.org/wiki/Special:FilePath/3%20cossacks%20european%20wars.JPG
http://www.wikidata.org/entity/Q31560,Forza Motorsport 4,http://commons.wikimedia.org/wiki/Special:FilePath/E3%202011%20-%20Forza%20Motorsport%204%20%28Xbox%29%20%285822123385%29.jpg
